ID,Nome,Idade,Destino,Classe,Valor_Gasto,Hora_Entrada_Restaurante,Hora_Saída_Restaurante,Objeto_Carregado
32,Sophie Guerra,64,Paris,3ª Classe,330.19,20,21,Carteira
33,Eloá Abreu,64,Berlim,1ª Classe,131.84,13,15,Carteira
34,André Almeida,29,Berlim,2ª Classe,132.41,11,13,Celular
35,Eduardo Souza,53,Paris,1ª Classe,329.55,18,19,Bengala
36,Ana Lívia Vasconcelos,66,Londres,1ª Classe,209.14,17,18,Celular
37,Raquel Lima,21,Londres,2ª Classe,11.06,16,18,Celular
38,Valentina Araújo,68,Roma,2ª Classe,217.27,21,23,Carteira
39,Ana Beatriz Sales,36,Londres,1ª Classe,293.8,18,19,Chocolate
40,Benicio Nunes,21,Paris,3ª Classe,243.63,18,19,Carteira
41,Manuella Brito,50,Paris,1ª Classe,43.58,11,12,Boné
42,Anthony Duarte,54,Londres,3ª Classe,301.31,19,20,Boné
43,Sr. Benicio Machado,55,Madri,3ª Classe,165.02,14,15,Chocolate
44,Valentina Farias,38,Londres,2ª Classe,203.94,20,22,Boné
45,Sr. Otávio Aparecida,66,Paris,1ª Classe,234.56,19,20,Carteira
46,Vinícius Sales,31,Madri,2ª Classe,74.9,15,16,Celular
47,Léo Sampaio,41,Berlim,1ª Classe,224.71,18,20,Chocolate
48,Clara Vargas,69,Madri,1ª Classe,337.25,18,20,Celular
49,Gael Sales,24,Londres,2ª Classe,66.56,11,12,Jornal
50,Luan Montenegro,56,Londres,3ª Classe,178.01,20,22,Boné
51,Bryan Farias,34,Paris,1ª Classe,320.8,14,15,Carteira
52,Dr. Pedro Lucas Correia,67,Londres,3ª Classe,490.1,12,14,Boné
53,Caleb Gomes,45,Madri,1ª Classe,64.82,21,22,Boné
54,Pedro Miguel Correia,41,Madri,3ª Classe,82.57,12,13,Jornal
55,Ana Liz Dias,68,Paris,2ª Classe,112.94,13,14,Jornal
56,Dr. Gustavo Moreira,53,Roma,3ª Classe,377.24,13,14,Bengala
57,Eloá Rios,69,Londres,2ª Classe,22.15,21,23,Celular
58,Lucca Silveira,44,Londres,2ª Classe,88.01,21,22,Boné
59,Eduardo Rocha,20,Roma,1ª Classe,107.79,17,19,Jornal
60,Marina Freitas,68,Londres,1ª Classe,21.6,13,15,Jornal
61,Ana Lívia Rios,22,Berlim,2ª Classe,324.33,16,18,Celular
62,Cecilia Almeida,25,Berlim,1ª Classe,294.49,14,15,Carteira
63,Olivia Cassiano,45,Berlim,3ª Classe,395.35,16,17,Boné
64,Natália da Conceição,54,Londres,2ª Classe,31.75,16,17,Boné
65,Lucca Caldeira,69,Madri,3ª Classe,362.52,21,22,Jornal
66,Maria Laura Cassiano,22,Berlim,3ª Classe,163.82,11,13,Boné
67,Srta. Jade da Conceição,60,Roma,2ª Classe,207.18,14,15,Jornal
68,Davi Lucas Pacheco,60,Roma,3ª Classe,376.59,12,14,Boné
69,Dr. Lucas Ribeiro,18,Berlim,2ª Classe,112.99,22,24,Boné
70,Marina Mendes,46,Londres,3ª Classe,241.86,22,23,Chocolate
71,Alexandre Aragão,36,Madri,3ª Classe,320.14,15,16,Celular
72,Miguel Cavalcanti,66,Londres,3ª Classe,162.11,22,23,Carteira
73,Daniela da Rosa,20,Londres,2ª Classe,309.52,22,23,Boné
74,Maria Isis Pinto,58,Madri,1ª Classe,361.99,16,18,Boné
75,Rebeca Moraes,27,Paris,1ª Classe,391.43,13,14,Celular
76,Valentina Machado,62,Madri,2ª Classe,34.61,13,14,Boné
77,Mariane Pacheco,69,Roma,3ª Classe,270.25,18,20,Faca
78,Dra. Emanuelly Duarte,46,Madri,3ª Classe,447.09,16,18,Celular
79,Dr. Luiz Henrique Cirino,65,Roma,2ª Classe,137.0,13,15,Celular
80,Maria Clara Moraes,51,Roma,3ª Classe,127.23,17,18,Chocolate
81,Mariana Araújo,33,Berlim,2ª Classe,166.66,18,19,Carteira
82,Hadassa Rocha,32,Roma,3ª Classe,84.87,13,14,Boné
83,Maria Julia Vargas,39,Madri,2ª Classe,213.73,13,15,Boné
84,Antônio Viana,67,Madri,3ª Classe,19.57,22,24,Boné
85,Oliver Correia,40,Berlim,2ª Classe,428.19,16,17,Boné
86,José Nogueira,35,Roma,2ª Classe,24.22,15,17,Chocolate
87,Sr. Otto Farias,47,Londres,3ª Classe,271.72,16,17,Carteira
88,Liam da Rocha,45,Londres,2ª Classe,99.05,14,16,Jornal
89,Maria Vitória Pires,47,Berlim,2ª Classe,383.0,16,18,Chocolate
90,Bianca da Cruz,44,Berlim,1ª Classe,240.45,21,22,Bastão de Caminhada
91,Ana Luiza Novaes,40,Londres,3ª Classe,43.62,20,21,Chocolate
92,Sr. Arthur Miguel Pereira,33,Londres,1ª Classe,314.45,13,14,Boné
93,Anthony Lopes,25,Madri,1ª Classe,237.87,14,16,Carteira
94,Vitória Campos,56,Paris,1ª Classe,482.71,11,12,Celular
95,Sra. Allana da Luz,54,Roma,2ª Classe,471.32,13,14,Chocolate
96,Sr. Davi Luiz Fonseca,58,Londres,1ª Classe,351.62,14,15,Celular
97,Hellena Rios,54,Paris,2ª Classe,271.05,20,22,Carteira
98,Srta. Heloísa Novaes,59,Berlim,1ª Classe,426.29,17,18,Boné
99,Sr. Isaque Montenegro,41,Roma,3ª Classe,84.97,12,14,Chocolate
100,Stephany Monteiro,52,Roma,2ª Classe,223.43,21,23,Jornal
101,Esther Araújo,33,Paris,2ª Classe,442.0,13,15,Chocolate
102,Francisco Fernandes,60,Roma,2ª Classe,24.06,15,16,Boné
103,Sr. Cauã Porto,40,Berlim,2ª Classe,147.03,19,21,Boné
104,Maria Júlia Cunha,51,Londres,1ª Classe,128.26,16,18,Boné
105,Isabelly Sousa,33,Roma,3ª Classe,358.8,17,18,Carteira
106,Luiz Felipe Montenegro,32,Roma,3ª Classe,129.22,20,22,Boné
107,Caio Pastor,51,Berlim,2ª Classe,498.35,18,20,Jornal
108,João Miguel Siqueira,47,Berlim,2ª Classe,133.19,11,12,Jornal
109,Ana Laura Rezende,65,Madri,3ª Classe,100.72,13,15,Jornal
110,Maria Alice Viana,55,Madri,3ª Classe,148.67,11,12,Jornal
111,Marina da Mota,41,Londres,2ª Classe,16.93,18,19,Jornal
112,Dr. Benjamin das Neves,21,Madri,2ª Classe,351.73,12,14,Carteira
113,João Lucas Montenegro,18,Madri,2ª Classe,240.0,17,19,Carteira
114,Kamilly Dias,21,Berlim,2ª Classe,65.9,11,13,Boné
115,Dra. Luiza Nascimento,54,Paris,1ª Classe,83.11,19,21,Carteira
116,Davi Lucas Câmara,33,Paris,3ª Classe,384.58,19,20,Celular
117,Ravy Melo,42,Roma,2ª Classe,155.7,19,21,Jornal
118,Amanda Rocha,57,Paris,3ª Classe,480.45,11,12,Chocolate
119,Dr. João Pedro Ferreira,34,Paris,1ª Classe,127.53,18,19,Carteira
120,Bárbara Campos,44,Roma,3ª Classe,300.97,14,15,Jornal
121,Isabel Ramos,63,Berlim,3ª Classe,431.21,11,12,Celular
122,Samuel Fogaça,68,Madri,3ª Classe,403.91,13,15,Carteira
123,Maria Vitória Costa,32,Londres,2ª Classe,415.05,11,12,Carteira
124,João Felipe da Rocha,37,Madri,3ª Classe,413.88,14,16,Carteira
125,Levi Vargas,62,Berlim,3ª Classe,207.23,14,16,Boné
126,Otto Mendes,56,Paris,2ª Classe,369.92,19,21,Carteira
127,Nina Sá,32,Madri,3ª Classe,475.89,22,24,Chocolate
128,Juliana da Mata,66,Londres,2ª Classe,264.29,17,19,Carteira
129,Ana Julia Sampaio,55,Roma,3ª Classe,408.98,11,13,Jornal
130,Sr. Gabriel Viana,39,Berlim,3ª Classe,61.25,12,14,Boné
131,Maria Isis Rezende,49,Berlim,3ª Classe,473.14,22,23,Boné
132,Isaac da Mata,38,Berlim,2ª Classe,66.8,22,24,Celular
133,Thiago Almeida,70,Paris,3ª Classe,435.99,17,19,Carteira
134,Dante Novais,51,Berlim,3ª Classe,380.66,20,22,Celular
135,Ryan Silva,31,Berlim,3ª Classe,74.2,14,16,Celular
136,Danilo Rodrigues,49,Paris,1ª Classe,486.84,19,20,Chocolate
137,Pietro Freitas,37,Madri,1ª Classe,280.6,11,12,Bastão de Caminhada
138,Breno Rezende,25,Roma,1ª Classe,327.38,12,14,Celular
139,Sr. Otávio Costela,36,Madri,3ª Classe,143.98,17,19,Jornal
140,Ester Moreira,53,Londres,2ª Classe,103.4,19,20,Celular
141,Vitor Gabriel Azevedo,35,Roma,2ª Classe,467.78,18,20,Celular
142,Henrique Melo,36,Berlim,3ª Classe,294.16,20,22,Celular
143,Carlos Eduardo Ramos,46,Madri,2ª Classe,179.11,18,20,Boné
144,Ana Júlia Correia,38,Londres,3ª Classe,127.01,16,17,Celular
145,Calebe Silveira,44,Paris,2ª Classe,374.91,21,23,Boné
146,Lorena Vargas,60,Londres,2ª Classe,482.76,12,14,Celular
147,Alexandre Castro,46,Paris,3ª Classe,456.12,10,11,Boné
148,Fernanda Brito,59,Londres,1ª Classe,240.05,14,16,Chocolate
149,Alexia da Mata,43,Paris,2ª Classe,427.65,18,20,Faca
150,Igor Freitas,58,Roma,3ª Classe,27.59,11,12,Chocolate
151,Maria Luiza Cirino,36,Londres,3ª Classe,54.29,11,12,Boné
152,Enzo Pastor,62,Berlim,1ª Classe,32.54,22,23,Jornal
153,Isabela da Costa,41,Roma,1ª Classe,129.66,16,17,Carteira
154,Ravi Lucca Barbosa,23,Madri,2ª Classe,313.66,13,15,Celular
155,Hadassa Casa Grande,27,Londres,2ª Classe,322.57,17,19,Chocolate
156,Fernando Caldeira,69,Roma,2ª Classe,342.03,12,13,Boné
157,Agatha da Cruz,40,Madri,2ª Classe,323.08,16,18,Boné
158,Alana Leão,37,Londres,2ª Classe,428.13,11,12,Boné
159,Dr. João Guilherme Monteiro,40,Madri,2ª Classe,496.42,14,15,Bengala
160,Ana Cecília Abreu,60,Roma,2ª Classe,13.97,20,21,Celular
161,Dra. Manuela Novaes,65,Roma,2ª Classe,390.11,13,15,Jornal
162,Marcos Vinicius Gonçalves,30,Madri,2ª Classe,342.1,21,22,Chocolate
163,Antonella Novaes,58,Paris,2ª Classe,396.42,10,12,Chocolate
164,Dr. Bruno Silva,23,Berlim,2ª Classe,376.27,12,13,Carteira
165,Marcos Vinicius Monteiro,52,Berlim,3ª Classe,255.88,14,15,Jornal
166,Luna Cunha,70,Roma,2ª Classe,375.81,15,16,Boné
167,Larissa da Rosa,22,Londres,1ª Classe,431.47,21,23,Bengala
168,Sr. Isaque Cunha,69,Madri,2ª Classe,54.25,16,17,Jornal
169,Sr. Mathias Sampaio,25,Roma,2ª Classe,339.69,20,22,Chocolate
170,Oliver Santos,70,Berlim,1ª Classe,340.67,17,18,Chocolate
171,Zoe da Cruz,53,Berlim,3ª Classe,118.47,11,13,Celular
172,Alexandre Brito,37,Roma,1ª Classe,78.49,10,12,Bastão de Caminhada
173,Amanda Macedo,25,Paris,1ª Classe,444.76,12,14,Boné
174,Bianca da Paz,60,Madri,2ª Classe,297.8,21,22,Celular
175,Dr. Davi Araújo,59,Paris,2ª Classe,311.67,14,15,Chocolate
176,Pedro Henrique Câmara,31,Roma,2ª Classe,475.77,15,16,Bengala
177,Ana Luiza Rezende,41,Madri,3ª Classe,185.75,16,18,Jornal
178,Cecilia Rocha,25,Roma,1ª Classe,334.76,20,21,Carteira
179,Davi Lucca Albuquerque,39,Londres,1ª Classe,395.62,13,14,Celular
180,Julia Rezende,53,Londres,3ª Classe,115.82,13,15,Celular
181,Catarina Pinto,68,Madri,1ª Classe,145.86,12,13,Boné
182,Ana Liz Fogaça,69,Londres,1ª Classe,333.92,10,11,Carteira
183,Emanuelly Sales,68,Londres,3ª Classe,168.65,12,14,Carteira
184,Cauã Castro,65,Roma,3ª Classe,65.69,11,13,Boné
185,Enzo Leão,41,Madri,3ª Classe,63.44,18,19,Faca
186,Maria Eduarda Freitas,20,Madri,2ª Classe,234.44,10,11,Bastão de Caminhada
187,Natália Moura,43,Roma,3ª Classe,62.9,21,23,Carteira
188,Sra. Eduarda Alves,23,Berlim,3ª Classe,82.68,12,14,Chocolate
189,Lucas Gabriel Silva,55,Madri,3ª Classe,169.34,19,21,Boné
190,Vicente Fernandes,56,Roma,1ª Classe,398.62,11,12,Boné
191,Maria Flor Pacheco,32,Roma,2ª Classe,415.44,16,18,Chocolate
192,Luiz Gustavo da Conceição,38,Roma,2ª Classe,335.9,15,16,Chocolate
193,Srta. Catarina Rios,48,Paris,1ª Classe,417.57,11,13,Carteira
194,Mirella da Rosa,65,Berlim,1ª Classe,282.62,19,21,Chocolate
195,Lorena Porto,44,Berlim,3ª Classe,471.15,16,17,Bengala
196,Marina Pinto,56,Berlim,2ª Classe,60.76,18,19,Carteira
197,Sr. Ryan da Luz,48,Londres,1ª Classe,181.56,18,20,Carteira
198,Nicolas Lima,35,Madri,1ª Classe,405.54,18,19,Chocolate
199,Luara Câmara,60,Berlim,1ª Classe,98.4,21,23,Celular
200,Davi Gonçalves,40,Paris,1ª Classe,436.23,19,21,Carteira
201,Gael Ribeiro,65,Paris,1ª Classe,375.59,13,15,Boné
202,Marina Teixeira,39,Londres,2ª Classe,162.7,15,16,Celular
203,Sr. Gael Henrique da Rocha,27,Londres,3ª Classe,34.38,11,13,Boné
204,Carolina Costela,45,Roma,3ª Classe,226.6,14,15,Celular
205,João Marques,25,Berlim,2ª Classe,64.34,20,22,Boné
206,João Pedro Pacheco,37,Paris,1ª Classe,203.68,19,20,Carteira
207,Maria Vitória Vasconcelos,37,Londres,1ª Classe,384.44,14,16,Carteira
208,Ana Sophia Viana,49,Roma,1ª Classe,73.3,18,19,Boné
209,Sr. Thomas Moura,60,Berlim,1ª Classe,204.56,21,22,Boné
210,Luna Vieira,47,Paris,2ª Classe,292.12,19,21,Chocolate
211,Maria Alice Rocha,44,Berlim,1ª Classe,208.47,15,16,Celular
212,Miguel Cavalcanti,57,Roma,3ª Classe,460.69,11,13,Celular
213,Danilo da Conceição,33,Roma,3ª Classe,206.22,11,13,Celular
214,Luiz Fernando Martins,65,Berlim,1ª Classe,173.2,12,13,Boné
215,Eloah Vieira,25,Madri,3ª Classe,105.01,22,24,Jornal
216,Théo Campos,70,Londres,1ª Classe,60.37,14,15,Carteira
217,Brenda Silva,27,Paris,1ª Classe,476.13,20,22,Boné
218,Ana Júlia da Mata,54,Madri,2ª Classe,343.76,19,21,Celular
219,Pietra Jesus,58,Berlim,1ª Classe,225.48,17,19,Chocolate
220,Melina Teixeira,68,Berlim,3ª Classe,37.52,18,19,Jornal
221,Srta. Sara Cirino,46,Paris,1ª Classe,190.68,14,15,Chocolate
222,João Felipe Carvalho,23,Madri,3ª Classe,258.46,17,18,Boné
223,Sr. Benjamim Pacheco,69,Madri,3ª Classe,102.24,19,21,Boné
224,Calebe Camargo,21,Roma,1ª Classe,407.37,15,16,Boné
225,Arthur Miguel Rocha,29,Paris,1ª Classe,356.73,17,18,Jornal
226,Júlia Viana,36,Roma,2ª Classe,389.49,20,21,Celular
227,João Vitor Santos,59,Berlim,1ª Classe,171.55,18,20,Jornal
228,Benjamim Caldeira,64,Madri,1ª Classe,173.35,19,20,Celular
229,Luiz Gustavo Albuquerque,37,Roma,1ª Classe,301.57,11,13,Boné
230,Ana Vitória Nogueira,59,Berlim,1ª Classe,338.36,21,22,Chocolate
231,Heitor Almeida,45,Madri,2ª Classe,18.93,14,15,Faca
232,Nathan Melo,39,Roma,1ª Classe,121.01,12,13,Carteira
233,Sr. Pedro Lucas da Mata,68,Paris,3ª Classe,387.73,21,22,Chocolate
234,Rebeca Fonseca,67,Madri,1ª Classe,302.65,12,13,Carteira
235,Henry Gabriel Guerra,62,Madri,1ª Classe,363.38,10,12,Jornal
236,Cauã Teixeira,64,Londres,2ª Classe,309.19,22,24,Jornal
237,Enzo Fogaça,33,Berlim,2ª Classe,452.95,13,15,Chocolate
238,Vicente Aragão,54,Roma,2ª Classe,387.02,22,24,Boné
239,Dr. Gael Henrique da Cunha,44,Londres,1ª Classe,402.62,12,14,Carteira
240,Ana Beatriz Martins,48,Berlim,3ª Classe,467.8,21,22,Jornal
241,Lorena Leão,66,Londres,2ª Classe,230.17,18,19,Celular
242,Fernando Sales,23,Londres,2ª Classe,443.47,10,12,Carteira
243,Sophia Pacheco,50,Berlim,1ª Classe,199.22,11,13,Jornal
244,João Miguel Borges,38,Paris,3ª Classe,328.48,22,23,Carteira
245,Enzo Câmara,36,Roma,3ª Classe,417.24,22,24,Boné
246,Arthur Miguel Farias,18,Paris,1ª Classe,135.4,12,14,Carteira
247,Sr. Bento Correia,36,Londres,2ª Classe,69.71,13,15,Chocolate
248,Léo Pimenta,57,Roma,1ª Classe,64.32,17,18,Chocolate
249,Diego Guerra,54,Londres,3ª Classe,80.35,16,17,Chocolate
250,Sr. Vinícius Moreira,33,Madri,2ª Classe,101.78,20,21,Boné
251,Felipe Pires,41,Paris,3ª Classe,276.6,22,23,Boné
252,Nicolas Brito,48,Paris,3ª Classe,199.57,15,17,Chocolate
253,Maitê Carvalho,40,Paris,2ª Classe,128.15,20,21,Celular
254,Dra. Julia Fonseca,65,Berlim,1ª Classe,31.72,18,20,Celular
255,Amanda da Luz,29,Roma,3ª Classe,244.48,12,13,Carteira
256,Luna Araújo,67,Roma,1ª Classe,153.79,10,11,Celular
257,Eloah Farias,38,Berlim,3ª Classe,205.13,18,20,Jornal
258,Maria Luiza da Costa,66,Londres,2ª Classe,184.92,22,23,Celular
259,Dr. Benjamin Aparecida,39,Berlim,1ª Classe,401.68,16,18,Chocolate
260,Dra. Gabriela Santos,42,Berlim,1ª Classe,253.14,17,19,Celular
261,Maria Alice Azevedo,51,Berlim,1ª Classe,366.27,11,13,Chocolate
262,Natália Cunha,70,Londres,3ª Classe,153.95,11,12,Jornal
263,Isabella Almeida,36,Berlim,2ª Classe,305.28,16,17,Chocolate
264,Benjamim Santos,40,Roma,1ª Classe,366.14,15,17,Jornal
265,Dr. Calebe Câmara,68,Paris,1ª Classe,338.88,16,18,Boné
266,Maitê Santos,65,Londres,1ª Classe,79.96,19,21,Carteira
267,Maria Luiza Câmara,22,Londres,3ª Classe,189.5,16,17,Chocolate
268,Benício da Costa,61,Roma,2ª Classe,192.29,22,23,Chocolate
269,Eloah Oliveira,51,Berlim,2ª Classe,164.05,14,15,Faca
270,Eloah Albuquerque,19,Londres,2ª Classe,263.7,18,19,Jornal
271,Sophia Costa,34,Roma,1ª Classe,498.22,14,16,Jornal
272,Laura Campos,26,Paris,2ª Classe,94.6,21,23,Bastão de Caminhada
273,Bruna Silveira,69,Berlim,3ª Classe,180.24,11,13,Celular
274,Cauê Camargo,28,Londres,2ª Classe,259.29,11,12,Celular
275,João Vitor Monteiro,33,Roma,1ª Classe,186.84,19,21,Boné
276,Caleb da Mota,53,Londres,3ª Classe,443.28,11,13,Boné
277,Henrique Moura,63,Roma,3ª Classe,211.29,16,17,Carteira
278,Srta. Brenda Silveira,38,Paris,2ª Classe,238.26,18,20,Carteira
279,Srta. Stella Farias,67,Madri,3ª Classe,298.02,22,23,Boné
280,Maria Clara da Rosa,21,Paris,3ª Classe,84.98,12,13,Jornal
281,Maitê Pastor,63,Londres,2ª Classe,474.27,18,20,Celular
282,Thiago Teixeira,34,Londres,3ª Classe,478.61,14,15,Chocolate
283,Mirella Gonçalves,57,Madri,1ª Classe,256.26,12,13,Carteira
284,Levi Martins,57,Madri,2ª Classe,422.84,19,20,Celular
285,Josué Farias,19,Paris,1ª Classe,474.79,22,24,Chocolate
286,Sr. Alexandre Peixoto,67,Madri,2ª Classe,312.87,10,12,Celular
287,Joaquim Abreu,52,Berlim,3ª Classe,478.76,17,18,Celular
288,Leandro Novais,61,Roma,2ª Classe,232.24,21,22,Carteira
289,Mariane Moraes,44,Roma,2ª Classe,109.97,19,20,Jornal
290,Dr. João Felipe Cassiano,63,Berlim,3ª Classe,494.13,15,17,Carteira
291,Josué Martins,41,Madri,3ª Classe,62.03,13,15,Carteira
292,Dr. Vinícius Moraes,46,Londres,1ª Classe,57.44,14,16,Celular
293,Leandro Abreu,44,Londres,1ª Classe,408.6,19,21,Jornal
294,Srta. Lara Marques,28,Roma,3ª Classe,238.74,14,16,Carteira
295,Gustavo Henrique da Mata,43,Madri,2ª Classe,483.68,13,15,Carteira
296,Isabelly Sales,36,Roma,3ª Classe,442.35,20,22,Jornal
297,Sr. Ravi Lucca Abreu,18,Paris,2ª Classe,75.63,14,16,Celular
298,Benicio Ramos,41,Paris,2ª Classe,35.07,18,19,Jornal
299,Srta. Julia Pires,36,Paris,2ª Classe,257.09,22,24,Celular
300,Ana Rocha,57,Madri,1ª Classe,73.05,11,13,Jornal
301,Paulo Caldeira,39,Madri,2ª Classe,379.93,13,15,Boné
302,Ana Sophia Moura,20,Paris,1ª Classe,359.66,22,24,Boné
303,Gustavo Henrique Araújo,27,Madri,3ª Classe,78.49,19,21,Carteira
304,Arthur Miguel Lopes,57,Berlim,3ª Classe,174.82,18,20,Chocolate
305,Gael Henrique Campos,37,Roma,1ª Classe,190.5,20,21,Bengala
306,Emanuel Rios,55,Berlim,3ª Classe,437.33,20,21,Chocolate
307,Ana Beatriz Cassiano,34,Madri,3ª Classe,121.5,10,12,Carteira
308,Pedro Miguel Pires,58,Madri,2ª Classe,82.41,20,21,Carteira
309,Ana Clara da Paz,62,Paris,1ª Classe,19.28,15,17,Carteira
310,Dra. Laura Caldeira,62,Londres,2ª Classe,255.89,19,21,Celular
311,Gabriela Peixoto,65,Paris,3ª Classe,77.66,13,15,Bastão de Caminhada
312,Pietra Nunes,48,Madri,2ª Classe,163.74,12,14,Celular
313,Lorena Gomes,39,Madri,2ª Classe,341.18,21,23,Chocolate
314,Vitor Mendonça,30,Londres,2ª Classe,283.46,13,15,Celular
315,Bruno Rocha,63,Londres,3ª Classe,355.44,15,17,Jornal
316,Srta. Melina Silveira,68,Berlim,2ª Classe,69.72,20,22,Celular
317,Sr. Antônio Novais,43,Berlim,1ª Classe,152.32,14,15,Jornal
318,João Leão,46,Berlim,3ª Classe,244.75,13,15,Celular
319,Thiago Azevedo,62,Berlim,1ª Classe,63.52,21,22,Jornal
320,Ravi Ferreira,60,Madri,1ª Classe,322.59,10,11,Boné
321,Maria Júlia Fernandes,63,Roma,1ª Classe,343.78,12,13,Bengala
322,Júlia Macedo,28,Roma,3ª Classe,468.17,17,19,Chocolate
323,Joana Peixoto,66,Berlim,2ª Classe,149.85,10,11,Chocolate
324,Dr. Diogo da Mota,32,Madri,3ª Classe,364.33,10,11,Boné
325,Dra. Maria Luísa Oliveira,29,Paris,2ª Classe,396.1,12,14,Celular
326,Samuel Camargo,18,Berlim,3ª Classe,305.36,15,17,Boné
327,Vitor Freitas,59,Madri,3ª Classe,252.02,12,14,Jornal
328,Srta. Antonella Aparecida,69,Paris,2ª Classe,89.62,17,19,Chocolate
329,Dr. Vitor Gabriel Campos,18,Berlim,2ª Classe,288.21,22,23,Carteira
330,Dr. Pedro Santos,58,Roma,2ª Classe,262.49,11,13,Chocolate
331,Srta. Alexia Rezende,29,Londres,2ª Classe,168.56,13,14,Jornal
332,Maria Cecília da Conceição,33,Roma,2ª Classe,477.48,14,15,Jornal
333,Sarah das Neves,41,Londres,1ª Classe,337.22,17,19,Carteira
334,Helena da Mata,61,Madri,3ª Classe,387.22,21,22,Chocolate
335,Cecilia Rezende,36,Berlim,3ª Classe,118.22,12,14,Carteira
336,Lunna Leão,65,Madri,2ª Classe,213.76,18,20,Celular
337,Fernanda das Neves,69,Londres,1ª Classe,343.37,19,20,Boné
338,Alexandre da Cunha,51,Berlim,1ª Classe,459.45,11,12,Celular
339,Vitor Gabriel da Rosa,50,Londres,3ª Classe,272.96,12,14,Celular
340,Kevin da Cruz,46,Paris,3ª Classe,110.65,19,21,Carteira
341,Daniel Lopes,50,Roma,1ª Classe,232.18,18,20,Boné
342,Leandro Costela,21,Madri,2ª Classe,339.66,14,15,Boné
343,Ana Laura Castro,70,Paris,3ª Classe,116.77,11,12,Boné
344,Maria Clara Barbosa,62,Paris,3ª Classe,497.12,11,13,Carteira
345,Calebe Abreu,44,Londres,1ª Classe,385.26,21,23,Jornal
346,Fernanda Cirino,42,Roma,2ª Classe,194.07,20,21,Chocolate
347,Sara Pacheco,40,Paris,1ª Classe,496.49,16,17,Chocolate
348,Maria Vitória Campos,32,Paris,1ª Classe,489.46,17,19,Boné
349,Dra. Alice Mendes,70,Londres,1ª Classe,235.71,12,14,Carteira
350,Ravy Pires,64,Paris,1ª Classe,406.64,16,17,Jornal
351,Cauê Silveira,22,Paris,3ª Classe,26.45,19,20,Jornal
352,Sra. Laura da Paz,20,Roma,2ª Classe,124.83,13,14,Carteira
353,Ryan Aparecida,36,Londres,3ª Classe,292.29,19,21,Jornal
354,Valentina Freitas,27,Madri,1ª Classe,212.64,14,15,Boné
355,Sr. Liam Vargas,55,Londres,3ª Classe,342.59,18,20,Carteira
356,Eloah Moreira,40,Roma,3ª Classe,166.18,16,18,Carteira
357,Lunna da Rosa,42,Londres,3ª Classe,242.02,13,15,Celular
358,João Pedro Borges,27,Roma,1ª Classe,285.57,16,17,Boné
359,Anthony Sá,34,Londres,2ª Classe,326.89,17,19,Carteira
